阶段ID,阶段描述,任务ID,任务描述,任务依赖,状态,上下文 / 工具,验收标准,
P0,实验环境建立,P0-01,准备 Windows 台式机、USB WiFi 网卡、独立热点,无,已完成,Windows PC / USB WiFi 网卡,摄像头可连接到独立热点,
,,P0-02,建立隔离网络，避免摄像头接入家庭主网,P0-01,已完成,Windows 热点 / 防火墙规则,摄像头仅连接测试网络,
,,P0-03,安装抓包与网络分析工具,P0-01,已完成,Wireshark / Npcap / nmap / VLC / ffmpeg,工具均可正常运行,
,,P0-04,建立项目文件夹与实验记录模板,无,已完成,本地文件夹 / Markdown / Excel,能记录 pcap、日志、截图、命令结果,
,,P0-05,记录摄像头 MAC、IP、启动时间、App 行为,P0-02,已完成,DHCP 日志 / Wireshark,获得摄像头基础网络信息,
,,P0-06,保存不同场景下的抓包文件,P0-03,已完成,Wireshark pcapng,保存 online / app preview / PTZ 抓包文件；blocked 场景留到 P1-06,
P1,网络行为逆向,P1-01,抓取摄像头上电启动阶段流量,P0-06,已完成,Wireshark capture,获得完整 boot 阶段 pcap,
,,P1-02,分析 DNS 请求，确定云端服务器域名,P1-01,已完成,DNS packets,列出摄像头访问的主要域名,
,,P1-03,分析 TCP / UDP 通信流,P1-01,已完成,Wireshark / tcp.stream / udp.stream,列出远程 IP、端口、协议类型,
,,P1-04,抓取手机 App 预览视频时的流量,P1-01,待处理,App preview capture,判断视频流是否经云端或局域网,
,,P1-05,抓取手机 App 控制云台时的流量,P1-01,待处理,App PTZ capture,判断 PTZ 控制路径,
,,P1-06,阻断公网连接并观察摄像头行为,P1-02,待处理,防火墙 / DNS 劫持,判断离线后是否仍有本地服务,
,,P1-07,判断是否存在本地视频接口,P1-04,待处理,RTSP / HTTP / ONVIF / proprietary,确定是否可从局域网直接取流,
P2,本地视频接管,P2-01,使用 nmap 扫描摄像头开放端口,P1-01,待处理,nmap,获得开放端口列表,
,,P2-02,测试常见 RTSP 地址,P2-01,待处理,VLC / ffprobe / ffmpeg,判断是否能拉取 RTSP 流,
,,P2-03,测试 ONVIF 探测,P2-01,待处理,ONVIF Device Manager,判断是否支持 ONVIF,
,,P2-04,尝试 HTTP / MJPEG / 私有流地址,P2-01,待处理,浏览器 / curl / ffmpeg,判断是否有非 RTSP 视频接口,
,,P2-05,记录可用视频流参数,P2-02 / P2-04,待处理,ffprobe,获得编码格式、分辨率、帧率、码率,
,,P2-06,判断是否无需刷机即可取流,P2-05,待处理,视频预览,若可稳定取流，则优先跳转 P5,
,,P2-07,区分视频接管与控制接管需求,P2-06,待处理,任务评估,明确是否还需要研究 PTZ / 夜视控制,
P3,串口只读分析,P3-01,断电状态下确认 GND 引脚,无,待处理,万用表,GND 与大面积铜皮导通,
,,P3-02,测量 RX / TX 空闲电平,P3-01,待处理,万用表,确认是 3.3 V TTL，禁止 5 V,
,,P3-03,只连接摄像头 TX 到 USB-TTL RX,P3-02,待处理,USB-TTL / 杜邦线,能安全读取输出，不向摄像头写入,
,,P3-04,尝试读取 boot log,P3-03,待处理,PuTTY / MobaXterm / minicom,能看到启动日志,
,,P3-05,尝试不同波特率,P3-04,待处理,115200 / 57600 / 38400 / 9600,找到正确串口参数,
,,P3-06,保存完整 boot log,P3-04,待处理,UART log,保存启动日志文本,
,,P3-07,从 boot log 识别系统信息,P3-06,待处理,Linux boot log,获得 kernel、rootfs、mtd 分区、启动参数,
,,P3-08,再连接 USB-TTL TX 到摄像头 RX,P3-06,待处理,USB-TTL,可以向设备输入字符,
,,P3-09,判断是否可登录 shell,P3-08,待处理,UART login,判断是否有 login / shell / root 权限,
,,P3-10,判断是否可中断 U-Boot,P3-08,待处理,interrupt boot,判断是否可进入 bootloader 命令行,
P4,固件备份与恢复,P4-01,确认 SPI Flash 型号、容量、供电电压、引脚,P3-07,待处理,250H128DHIQ / SPI NOR,明确容量和读写方式,
,,P4-02,准备 SPI Flash 编程器和夹具,P4-01,待处理,CH341A / 1.8V or 3.3V adapter / SOIC clip,编程器可识别芯片,
,,P4-03,读取完整 Flash 镜像,P4-02,待处理,flashrom / 编程器软件,得到完整固件 dump,
,,P4-04,连续读取 2–3 次并校验 hash,P4-03,待处理,sha256 / md5,多次 dump 完全一致,
,,P4-05,多处备份原始固件,P4-04,待处理,本地硬盘 / 云盘 / 移动硬盘,至少保存 2–3 份原始镜像,
,,P4-06,使用 binwalk 分析固件,P4-04,待处理,binwalk / Linux,识别 kernel、rootfs、squashfs、jffs2 等,
,,P4-07,提取并分析 rootfs,P4-06,待处理,unsquashfs / binwalk -e,能查看文件系统,
,,P4-08,查找启动脚本和关键服务,P4-07,待处理,init scripts / busybox,找到开机启动逻辑,
,,P4-09,查找视频编码、RTSP、云端、PTZ 相关程序,P4-07,待处理,strings / grep / ldd,找到主要业务程序,
,,P4-10,写回原始 Flash 镜像进行恢复验证,P4-05,待处理,SPI programmer,原始固件可写回,
,,P4-11,验证写回后摄像头正常启动,P4-10,待处理,boot log / App / 网络,摄像头恢复原始状态,
,,P4-12,编写救砖与恢复文档,P4-11,待处理,Markdown / 图片,明确接线、读写、恢复流程,
P5,最小固件修改,P5-01,明确固件修改目标,P4-09,待处理,分析结果,只做必要修改，不替换完整系统,
,,P5-02,尝试启用已有本地视频服务,P5-01,待处理,RTSP / HTTP / init scripts,本地可取流,
,,P5-03,尝试保留原厂 ISP、编码器、夜视、电机控制能力,P5-01,待处理,原厂程序,白天、夜间、转动功能不丢失,
,,P5-04,尝试禁用厂商云服务,P5-02,待处理,hosts / init scripts / 防火墙,设备不再主动连云,
,,P5-05,尝试开启 telnet / ssh / 本地调试入口,P5-01,待处理,busybox / dropbear,可本地登录管理,
,,P5-06,查找 PTZ 控制接口,P4-09,待处理,UART / HTTP API / 设备节点,能控制两个方向转动,
,,P5-07,查找夜视 / IR-cut / 红外灯控制接口,P4-09,待处理,GPIO / 设备节点 / 原厂程序,能控制白天彩色与夜间黑白切换,
,,P5-08,构建最小修改固件并测试启动,P5-02 / P5-04,待处理,修改 rootfs / repack,修改后能正常启动,
,,P5-09,保留完整回滚方案,P5-08,待处理,原始固件 / 编程器,失败后可恢复,
P6,服务器侧功能接管,P6-01,组建 Ubuntu Server 家用服务器,无,待处理,旧笔记本 / Ubuntu Server,服务器可稳定运行,
,,P6-02,安装 Docker / Docker Compose,P6-01,待处理,Ubuntu Server,可部署容器服务,
,,P6-03,部署 Frigate / Motion / NVR 服务,P6-02,待处理,Docker / Frigate / Motion,NVR Web UI 可访问,
,,P6-04,接入摄像头视频流,P2-06 或 P5-02,待处理,RTSP / HTTP stream,服务器可稳定拉流,
,,P6-05,配置录像存储策略,P6-04,待处理,Frigate config,支持连续录像或事件录像,
,,P6-06,配置移动检测区域,P6-04,待处理,Frigate zones / Motion mask,能识别指定区域移动,
,,P6-07,配置本地目标检测,P6-06,待处理,CPU mode / 可选 Coral TPU,能识别人、动物、车辆等目标,
,,P6-08,配置事件通知,P6-07,待处理,MQTT / Telegram / ntfy / 邮件,事件触发后可推送到手机,
,,P6-09,实现服务器侧 PTZ 自动跟踪逻辑,P5-06 / P6-07,待处理,Python service / MQTT,检测到目标后可控制云台跟踪,
,,P6-10,优化功耗策略,P6-07,待处理,低码率 / 事件录像 / 夜视策略,降低不必要计算和录像负载,
P7,长期稳定运行,P7-01,接入 Tailscale 内网,P6-01,待处理,Tailscale,手机、电脑、iPad 可安全访问服务器,
,,P7-02,限制摄像头只访问服务器和必要内网地址,P6-04,待处理,防火墙 / 路由规则,摄像头不能随意访问公网,
,,P7-03,配置 Cloudflare 域名解析,P6-01,待处理,Cloudflare DNS,域名可解析到指定服务,
,,P7-04,明确 Cloudflare 与 Tailscale 分工,P7-01 / P7-03,待处理,网络架构,摄像头/NVR 管理优先走 Tailscale,
,,P7-05,配置 systemd 自启动,P6-03,待处理,systemd,服务器重启后服务自动恢复,
,,P7-06,配置 watchdog / 健康检查,P7-05,待处理,systemd watchdog / cron,服务异常后自动重启,
,,P7-07,配置日志轮转,P7-05,待处理,logrotate / Docker logs,防止日志占满磁盘,
,,P7-08,配置录像自动清理策略,P6-05,待处理,Frigate retention,防止录像占满磁盘,
,,P7-09,长时间稳定性测试,P7-05,待处理,uptime monitoring,连续运行 7 天以上无异常,
,,P7-10,建立完整文档,P4-12 / P7-09,待处理,Markdown / Git / 图片,包含接线、固件、配置、恢复、网络拓扑,
